game_pk,f5_away_runs,f5_home_runs,f5_outcome
823135,1,5,HOME
823133,0,1,HOME
823163,3,3,TIE
823162,1,3,HOME
823160,0,6,HOME
823972,1,0,AWAY
823970,2,0,AWAY
824460,1,0,AWAY
823161,0,2,HOME
824457,1,1,TIE
823072,2,2,TIE
824274,2,0,AWAY
823458,0,2,HOME
823159,0,1,HOME
823158,2,0,AWAY
823157,1,0,AWAY
822916,2,3,HOME
822915,0,3,HOME
823314,6,0,AWAY
823151,0,3,HOME
823149,1,3,HOME
823148,2,2,TIE
823147,3,2,AWAY
823069,2,2,TIE
823070,6,7,HOME
823068,1,1,TIE
823719,2,7,HOME
823716,0,1,HOME
823717,1,2,HOME
823146,4,3,AWAY
823144,1,2,HOME
823145,3,1,AWAY
824110,0,0,TIE
824109,0,4,HOME
824108,1,4,HOME
825005,7,0,AWAY
825004,4,0,AWAY
825003,5,0,AWAY
823132,0,4,HOME
823230,3,1,AWAY
824132,5,0,AWAY
823803,1,0,AWAY
823801,1,1,TIE
823797,0,5,HOME
823063,5,0,AWAY
823792,2,0,AWAY
823793,2,3,HOME
823707,1,0,AWAY
823788,0,5,HOME
823784,0,3,HOME
823783,1,0,AWAY
824539,0,2,HOME
823390,6,0,AWAY
823387,0,0,TIE
823056,2,1,AWAY
822919,2,2,TIE
823720,2,1,AWAY
824526,2,4,HOME
823388,4,15,HOME
824684,3,3,TIE
824516,1,5,HOME
824455,2,5,HOME
825015,1,4,HOME
824118,2,1,AWAY
824116,1,1,TIE
824106,10,1,AWAY
823568,2,4,HOME
823885,4,6,HOME
824297,0,2,HOME
823878,0,4,HOME
823712,0,3,HOME
823709,0,6,HOME
823622,1,3,HOME
823487,5,0,AWAY
824377,10,1,AWAY
824379,1,4,HOME
824299,0,3,HOME
824296,4,2,AWAY
823727,0,4,HOME
823726,0,7,HOME
824292,1,0,AWAY
824291,1,1,TIE
824286,1,4,HOME
824528,2,3,HOME
823962,0,4,HOME
823310,2,2,TIE
822905,0,5,HOME
822902,0,1,HOME
824136,1,5,HOME
822829,4,6,HOME
823714,1,2,HOME
823715,2,4,HOME
824443,0,4,HOME
823377,5,4,AWAY
823876,0,3,HOME
823467,10,1,AWAY
823468,3,7,HOME
823381,2,0,AWAY
823464,2,1,AWAY
823459,1,0,AWAY
823944,0,6,HOME
824537,6,1,AWAY
822839,1,2,HOME
822837,2,5,HOME
822834,2,1,AWAY
822835,0,1,HOME
825021,2,2,TIE
822910,3,2,AWAY
825017,0,1,HOME
825016,2,5,HOME
825014,5,4,AWAY
823469,0,1,HOME
825011,4,3,AWAY
825008,1,1,TIE
825002,7,1,AWAY
825000,1,2,HOME
822912,1,6,HOME
823392,3,1,AWAY
825012,5,4,AWAY
823630,3,6,HOME
823629,4,0,AWAY
823627,2,5,HOME
823628,1,1,TIE
823863,1,2,HOME
823862,0,4,HOME
823861,0,0,TIE
823624,5,0,AWAY
823623,4,6,HOME
823621,1,5,HOME
824134,2,2,TIE
823800,3,0,AWAY
824680,8,3,AWAY
823786,5,1,AWAY
825013,1,4,HOME
824120,2,4,HOME
824119,3,4,HOME
824117,4,1,AWAY
824444,1,1,TIE
824435,4,2,AWAY
824277,4,1,AWAY
824276,3,3,TIE
823461,0,0,TIE
823891,3,2,AWAY
823317,2,4,HOME
824372,3,2,AWAY
824370,5,1,AWAY
824367,1,5,HOME
824525,5,0,AWAY
823385,0,2,HOME
823383,2,7,HOME
823569,4,2,AWAY
823567,3,1,AWAY
823559,0,2,HOME
822906,4,0,AWAY
822908,1,0,AWAY
823549,4,3,AWAY
824107,2,1,AWAY
825001,13,3,AWAY
822917,1,0,AWAY
823968,4,3,AWAY
824357,2,6,HOME
822895,0,6,HOME
824135,1,2,HOME
824133,1,0,AWAY
822830,7,2,AWAY
822828,8,1,AWAY
823713,6,2,AWAY
823706,1,1,TIE
823566,2,4,HOME
823565,0,0,TIE
823558,0,7,HOME
823556,0,7,HOME
822907,0,2,HOME
823550,6,0,AWAY
823794,0,5,HOME
823548,3,5,HOME
823547,0,0,TIE
823545,1,0,AWAY
824104,2,0,AWAY
823884,1,4,HOME
823879,1,2,HOME
823956,2,0,AWAY
824129,0,1,HOME
823886,1,0,AWAY
823386,6,3,AWAY
823948,2,1,AWAY
823947,1,3,HOME
823946,0,4,HOME
823382,5,0,AWAY
823059,4,3,AWAY
822816,1,3,HOME
823389,0,8,HOME
824518,3,1,AWAY
823323,0,3,HOME
823401,3,0,AWAY
823875,7,0,AWAY
825010,1,4,HOME
823959,0,3,HOME
823055,4,5,HOME
823073,4,1,AWAY
823071,1,1,TIE
822826,1,1,TIE
822824,2,2,TIE
823880,5,1,AWAY
823391,5,3,AWAY
823065,3,0,AWAY
823060,1,3,HOME
823058,2,0,AWAY
823057,2,0,AWAY
823966,2,1,AWAY
825024,4,0,AWAY
822914,1,5,HOME
822909,6,1,AWAY
823395,0,2,HOME
823066,1,4,HOME
823067,0,3,HOME
823061,2,3,HOME
823711,0,4,HOME
824115,0,5,HOME
823961,4,2,AWAY
822809,1,1,TIE
822832,6,1,AWAY
824371,3,3,TIE
822833,1,1,TIE
822813,2,1,AWAY
822831,3,0,AWAY
822827,7,4,AWAY
824278,0,0,TIE
824279,4,0,AWAY
822814,0,1,HOME
824510,6,1,AWAY
778357,1,4,HOME
778276,7,1,AWAY
778181,6,6,TIE
778107,1,4,HOME
778034,0,0,TIE
777945,1,0,AWAY
777874,0,2,HOME
777791,1,6,HOME
777712,4,0,AWAY
777647,3,1,AWAY
777569,1,0,AWAY
777478,1,4,HOME
777407,3,1,AWAY
777328,1,4,HOME
777255,9,4,AWAY
777183,0,6,HOME
777087,1,2,HOME
777000,0,0,TIE
776928,1,3,HOME
776847,0,1,HOME
776792,0,1,HOME
776709,0,0,TIE
776622,0,8,HOME
776536,2,1,AWAY
776450,5,4,AWAY
776377,0,1,HOME
776300,0,3,HOME
776239,0,1,HOME
776153,6,2,AWAY
777880,0,1,HOME
777651,1,0,AWAY
777571,3,4,HOME
777483,2,1,AWAY
777423,5,4,AWAY
777273,6,0,AWAY
776619,2,6,HOME
776530,1,3,HOME
776243,6,0,AWAY
776163,3,0,AWAY
776255,2,2,TIE
776230,0,6,HOME
776193,3,1,AWAY
776170,2,6,HOME
776136,2,9,HOME
778555,0,1,HOME
778535,2,2,TIE
778526,0,3,HOME
778507,0,4,HOME
778491,0,3,HOME
778478,0,3,HOME
778457,4,3,AWAY
778452,0,4,HOME
778429,3,4,HOME
778392,4,5,HOME
778369,0,4,HOME
778193,2,1,AWAY
778183,0,2,HOME
778173,2,0,AWAY
778153,7,1,AWAY
778138,3,0,AWAY
778131,0,3,HOME
778118,2,5,HOME
778099,0,1,HOME
778087,1,5,HOME
778077,3,3,TIE
778058,1,1,TIE
778026,2,4,HOME
778046,0,0,TIE
778022,0,3,HOME
777995,6,0,AWAY
777980,4,0,AWAY
777962,2,1,AWAY
777959,1,3,HOME
777942,2,3,HOME
777929,1,4,HOME
777909,0,4,HOME
777907,1,2,HOME
777890,7,0,AWAY
777873,8,1,AWAY
777841,3,4,HOME
777820,5,7,HOME
777801,0,0,TIE
777793,0,2,HOME
777778,3,1,AWAY
777743,1,4,HOME
777730,6,0,AWAY
777722,0,0,TIE
777710,6,6,TIE
777696,11,2,AWAY
777679,1,3,HOME
777659,7,3,AWAY
777650,0,0,TIE
777632,3,0,AWAY
777624,0,1,HOME
777610,2,0,AWAY
777596,3,2,AWAY
777570,4,2,AWAY
777555,0,4,HOME
777544,0,4,HOME
777530,8,2,AWAY
777514,1,1,TIE
777503,2,1,AWAY
777488,3,4,HOME
777480,3,1,AWAY
777461,0,0,TIE
777445,2,2,TIE
777427,2,4,HOME
777416,2,1,AWAY
777398,3,0,AWAY
777382,6,1,AWAY
777372,3,3,TIE
777360,0,1,HOME
777331,8,9,HOME
777315,1,1,TIE
777305,2,1,AWAY
777284,10,1,AWAY
777265,1,3,HOME
777258,3,9,HOME
777245,9,0,AWAY
777228,9,2,AWAY
777213,4,2,AWAY
777191,2,3,HOME
777178,7,1,AWAY
777167,0,2,HOME
777149,1,7,HOME
777135,2,3,HOME
777112,1,0,AWAY
777091,2,3,HOME
777077,8,1,AWAY
777064,6,8,HOME
777042,1,3,HOME
777026,1,0,AWAY
777011,0,1,HOME
776997,5,0,AWAY
776979,7,2,AWAY
776969,0,1,HOME
776950,2,3,HOME
776937,1,4,HOME
776917,9,2,AWAY
776903,5,2,AWAY
776894,3,1,AWAY
776865,10,1,AWAY
776850,0,0,TIE
776837,4,0,AWAY
776822,0,2,HOME
776802,3,0,AWAY
776793,5,0,AWAY
776784,4,2,AWAY
776770,1,4,HOME
776759,7,6,AWAY
776739,2,2,TIE
776725,0,2,HOME
776708,8,6,AWAY
776678,5,0,AWAY
776659,1,5,HOME
776650,3,4,HOME
